variable_name,units,value,data_reference
r_0_L2_E9,metre,7.641e-07,TO_DO
u_0_L2_E9,J_per_m3,3.848917712323541e-17,TO_DO
u_ext_L2_E9,J_per_m3,0.0,TO_DO
theta_L2_E9,dimensionless,0.0,TO_DO
E_L2_E10,J_per_m3,189939.7131176754,TO_DO
l_L2_E10,metre,5.6714e-06,TO_DO
r_0_L2_E10,metre,2.5469999999999997e-07,TO_DO
u_0_L2_E10,J_per_m3,2.1006417091906648e-17,TO_DO
u_ext_L2_E10,J_per_m3,0.0,TO_DO
theta_L2_E10,dimensionless,0.0,TO_DO
E_L2_E11,J_per_m3,131994.0635385328,TO_DO
l_L2_E11,metre,2.1574e-06,TO_DO
r_0_L2_E11,metre,4.4209999999999997e-07,TO_DO
u_0_L2_E11,J_per_m3,4.87890977618477e-18,TO_DO
theta_L2_E11,dimensionless,0.0,TO_DO
u_ext_L2_E11,J_per_m3,0.0,TO_DO
E_L2_E12,J_per_m3,155118.45408285537,TO_DO
l_L2_E12,metre,5.2803e-06,TO_DO
r_0_L2_E12,metre,2.668e-07,TO_DO
u_0_L2_E12,J_per_m3,0.0007177108872796115,TO_DO
u_ext_L2_E12,J_per_m3,0.0,TO_DO
theta_L2_E12,dimensionless,0.0,TO_DO
E_L2_E13,J_per_m3,148115.18353559577,TO_DO
l_L2_E13,metre,3.8875e-06,TO_DO
r_0_L2_E13,metre,4.5989999999999993e-07,TO_DO
u_0_L2_E13,J_per_m3,6.844026213814747e-19,TO_DO
u_ext_L2_E13,J_per_m3,0.0,TO_DO
theta_L2_E13,dimensionless,0.0,TO_DO
E_L2_E14,J_per_m3,218911.74725237442,TO_DO
l_L2_E14,metre,3.979299999999999e-06,TO_DO
r_0_L2_E14,metre,5.001e-07,TO_DO
u_0_L2_E14,J_per_m3,-1.7157499379583108e-17,TO_DO
u_ext_L2_E14,J_per_m3,0.0,TO_DO
theta_L2_E14,dimensionless,0.0,TO_DO
E_L2_E15,J_per_m3,193724.34616009478,TO_DO
l_L2_E15,metre,5.2803e-06,TO_DO
r_0_L2_E15,metre,2.3439999999999998e-07,TO_DO
u_0_L2_E15,J_per_m3,-3.3298559222461055e-17,TO_DO
u_ext_L2_E15,J_per_m3,0.0,TO_DO
theta_L2_E15,dimensionless,0.0,TO_DO
u_ext_L2_E16,J_per_m3,0.0,TO_DO
u_0_L2_E16,J_per_m3,1.876939169842204e-09,TO_DO
theta_L2_E16,dimensionless,0.0,TO_DO
E_L2_E16,J_per_m3,132229.53295979646,TO_DO
l_L2_E16,metre,3.9418999999999995e-06,TO_DO
r_0_L2_E16,metre,3.773e-07,TO_DO
u_ext_L2_E17,J_per_m3,0.0,TO_DO
u_0_L2_E17,J_per_m3,1.5032089391601652e-10,TO_DO
theta_L2_E17,dimensionless,0.0,TO_DO
E_L2_E17,J_per_m3,115328.66717154169,TO_DO
l_L2_E17,metre,4.472999999999999e-06,TO_DO
r_0_L2_E17,metre,6.252e-07,TO_DO
E_L2_E18,J_per_m3,210549.65628441473,TO_DO
l_L2_E18,metre,5.031e-07,TO_DO
r_0_L2_E18,metre,6.252e-07,TO_DO
u_0_L2_E18,J_per_m3,-4.4994390158148434e-18,TO_DO
u_ext_L2_E18,J_per_m3,0.0,TO_DO
theta_L2_E18,dimensionless,0.0,TO_DO
E_L2_E19,J_per_m3,213138.75060192126,TO_DO
l_L2_E19,metre,2.7233e-06,TO_DO
r_0_L2_E19,metre,6.252e-07,TO_DO
u_0_L2_E19,J_per_m3,-5.312590645178972e-18,TO_DO
u_ext_L2_E19,J_per_m3,0.0,TO_DO
theta_L2_E19,dimensionless,0.0,TO_DO
u_ext_L2_E20,J_per_m3,0.0,TO_DO
u_0_L2_E20,J_per_m3,2.47198095326695e-17,TO_DO
theta_L2_E20,dimensionless,0.0,TO_DO
E_L2_E20,J_per_m3,120915.1544627397,TO_DO
l_L2_E20,metre,1.0182e-06,TO_DO
r_0_L2_E20,metre,6.252e-07,TO_DO
E_L2_E21,J_per_m3,184669.95271910503,TO_DO
l_L2_E21,metre,6.9339e-06,TO_DO
r_0_L2_E21,metre,4.269e-07,TO_DO
u_0_L2_E21,J_per_m3,1.0409425058033328e-15,TO_DO
u_ext_L2_E21,J_per_m3,0.0,TO_DO
theta_L2_E21,dimensionless,0.0,TO_DO
E_L2_E22,J_per_m3,224375.33851218686,TO_DO
l_L2_E22,metre,3.8875e-06,TO_DO
r_0_L2_E22,metre,5.641e-07,TO_DO
u_0_L2_E22,J_per_m3,0.001948127055862337,TO_DO
u_ext_L2_E22,J_per_m3,0.0,TO_DO
theta_L2_E22,dimensionless,0.0,TO_DO
E_L2_E23,J_per_m3,184489.6822398037,TO_DO
l_L2_E23,metre,3.9418999999999995e-06,TO_DO
r_0_L2_E23,metre,3.773e-07,TO_DO
u_0_L2_E23,J_per_m3,1.6779698728593923e-16,TO_DO
u_ext_L2_E23,J_per_m3,0.0,TO_DO
theta_L2_E23,dimensionless,0.0,TO_DO
E_L2_E24,J_per_m3,151279.96833374497,TO_DO
l_L2_E24,metre,2.6901999999999997e-06,TO_DO
r_0_L2_E24,metre,3.126e-07,TO_DO
u_0_L2_E24,J_per_m3,8.477105736121038e-18,TO_DO
u_ext_L2_E24,J_per_m3,0.0,TO_DO
theta_L2_E24,dimensionless,0.0,TO_DO
E_L2_E25,J_per_m3,187331.40225625408,TO_DO
l_L2_E25,metre,4.4927e-06,TO_DO
r_0_L2_E25,metre,6.252e-07,TO_DO
u_0_L2_E25,J_per_m3,2.472432930047605e-14,TO_DO
u_ext_L2_E25,J_per_m3,0.0,TO_DO
theta_L2_E25,dimensionless,0.0,TO_DO
E_L2_E26,J_per_m3,201507.4047220776,TO_DO
l_L2_E26,metre,3.817e-06,TO_DO
r_0_L2_E26,metre,3.126e-07,TO_DO
u_0_L2_E26,J_per_m3,4.7287874440846145e-09,TO_DO
u_ext_L2_E26,J_per_m3,0.0,TO_DO
theta_L2_E26,dimensionless,0.0,TO_DO
E_L2_E27,J_per_m3,156372.55190743654,TO_DO
l_L2_E27,metre,4.5844e-06,TO_DO
r_0_L2_E27,metre,5.21e-07,TO_DO
u_0_L2_E27,J_per_m3,3.7947076036992655e-19,TO_DO
u_ext_L2_E27,J_per_m3,0.0,TO_DO
theta_L2_E27,dimensionless,0.0,TO_DO
u_ext_L2_E28,J_per_m3,0.0,TO_DO
u_0_L2_E28,J_per_m3,1.8626322272757845e-15,TO_DO
theta_L2_E28,dimensionless,0.0,TO_DO
E_L2_E28,J_per_m3,157479.81693976832,TO_DO
l_L2_E28,metre,4.472999999999999e-06,TO_DO
r_0_L2_E28,metre,6.252e-07,TO_DO
E_L2_E29,J_per_m3,133963.235240464,TO_DO
l_L2_E29,metre,3.3684e-06,TO_DO
r_0_L2_E29,metre,3.7509999999999996e-07,TO_DO
u_0_L2_E29,J_per_m3,4.363913744254155e-18,TO_DO
u_ext_L2_E29,J_per_m3,0.0,TO_DO
theta_L2_E29,dimensionless,0.0,TO_DO
u_ext_L2_E30,J_per_m3,0.0,TO_DO
u_0_L2_E30,J_per_m3,8.751205597852529e-16,TO_DO
theta_L2_E30,dimensionless,0.0,TO_DO
E_L2_E30,J_per_m3,206268.68812215718,TO_DO
l_L2_E30,metre,1.4645e-06,TO_DO
r_0_L2_E30,metre,6.252e-07,TO_DO
E_L2_E31,J_per_m3,132545.12201697557,TO_DO
l_L2_E31,metre,2.4282e-06,TO_DO
r_0_L2_E31,metre,8.335999999999999e-07,TO_DO
u_0_L2_E31,J_per_m3,7.806255641895632e-18,TO_DO
u_ext_L2_E31,J_per_m3,0.0,TO_DO
theta_L2_E31,dimensionless,0.0,TO_DO
E_L2_E32,J_per_m3,97356.29564908653,TO_DO
l_L2_E32,metre,2.8111e-06,TO_DO
r_0_L2_E32,metre,7.115e-07,TO_DO
u_0_L2_E32,J_per_m3,-1.0842021724855044e-17,TO_DO
u_ext_L2_E32,J_per_m3,0.0,TO_DO
theta_L2_E32,dimensionless,0.0,TO_DO
E_L2_E33,J_per_m3,134689.29421118007,TO_DO
l_L2_E33,metre,2.5310999999999998e-06,TO_DO
r_0_L2_E33,metre,4.6889999999999997e-07,TO_DO
u_0_L2_E33,J_per_m3,0.014284845770598777,TO_DO
u_ext_L2_E33,J_per_m3,0.0,TO_DO
theta_L2_E33,dimensionless,0.0,TO_DO
E_L2_E34,J_per_m3,185354.69883638862,TO_DO
l_L2_E34,metre,2.4282e-06,TO_DO
r_0_L2_E34,metre,6.252e-07,TO_DO
u_0_L2_E34,J_per_m3,-7.15573433840433e-18,TO_DO
u_ext_L2_E34,J_per_m3,0.0,TO_DO
theta_L2_E34,dimensionless,0.0,TO_DO
E_L2_E35,J_per_m3,85894.35511768356,TO_DO
l_L2_E35,metre,7.6885e-06,TO_DO
r_0_L2_E35,metre,3.7169999999999997e-07,TO_DO
u_0_L2_E35,J_per_m3,-1.2658060363768264e-17,TO_DO
u_ext_L2_E35,J_per_m3,0.0,TO_DO
theta_L2_E35,dimensionless,0.0,TO_DO
u_ext_L2_E36,J_per_m3,0.0,TO_DO
u_0_L2_E36,J_per_m3,6.1257422745431e-18,TO_DO
theta_L2_E36,dimensionless,0.0,TO_DO
E_L2_E36,J_per_m3,150287.13145715793,TO_DO
l_L2_E36,metre,1.3798e-06,TO_DO
r_0_L2_E36,metre,6.252e-07,TO_DO
E_L2_E37,J_per_m3,130809.40967127378,TO_DO
l_L2_E37,metre,3.3684e-06,TO_DO
r_0_L2_E37,metre,3.7509999999999996e-07,TO_DO
u_0_L2_E37,J_per_m3,1.713039432527097e-17,TO_DO
u_ext_L2_E37,J_per_m3,0.0,TO_DO
theta_L2_E37,dimensionless,0.0,TO_DO
E_L2_E38,J_per_m3,220296.1885535874,TO_DO
l_L2_E38,metre,3.3941e-06,TO_DO
r_0_L2_E38,metre,6.252e-07,TO_DO
u_0_L2_E38,J_per_m3,-3.903127820947816e-18,TO_DO
u_ext_L2_E38,J_per_m3,0.0,TO_DO
theta_L2_E38,dimensionless,0.0,TO_DO
E_L2_E39,J_per_m3,150828.04129432922,TO_DO
l_L2_E39,metre,1.5819e-06,TO_DO
r_0_L2_E39,metre,4.1679999999999997e-07,TO_DO
u_0_L2_E39,J_per_m3,1.9943966459877102e-10,TO_DO
u_ext_L2_E39,J_per_m3,0.0,TO_DO
theta_L2_E39,dimensionless,0.0,TO_DO
u_ext_L2_E40,J_per_m3,0.0,TO_DO
u_0_L2_E40,J_per_m3,9.603591793333477e-16,TO_DO
theta_L2_E40,dimensionless,0.0,TO_DO
E_L2_E40,J_per_m3,163997.82777875673,TO_DO
l_L2_E40,metre,5.372e-07,TO_DO
r_0_L2_E40,metre,6.252e-07,TO_DO
E_L2_E41,J_per_m3,149227.45864355582,TO_DO
l_L2_E41,metre,1.1935999999999999e-06,TO_DO
r_0_L2_E41,metre,6.252e-07,TO_DO
u_0_L2_E41,J_per_m3,0.009573611021639847,TO_DO
u_ext_L2_E41,J_per_m3,0.0,TO_DO
theta_L2_E41,dimensionless,0.0,TO_DO
E_L2_E42,J_per_m3,111832.74137172909,TO_DO
l_L2_E42,metre,2.7999e-06,TO_DO
r_0_L2_E42,metre,3.126e-07,TO_DO
u_0_L2_E42,J_per_m3,0.0025508086577516803,TO_DO
u_ext_L2_E42,J_per_m3,0.0,TO_DO
theta_L2_E42,dimensionless,0.0,TO_DO
E_L2_E43,J_per_m3,176093.1352699671,TO_DO
l_L2_E43,metre,2.7596e-06,TO_DO
r_0_L2_E43,metre,7.115e-07,TO_DO
u_0_L2_E43,J_per_m3,0.06945615638016842,TO_DO
u_ext_L2_E43,J_per_m3,0.0,TO_DO
theta_L2_E43,dimensionless,0.0,TO_DO
E_L2_E44,J_per_m3,141575.8819995989,TO_DO
l_L2_E44,metre,1.3277e-06,TO_DO
r_0_L2_E44,metre,6.252e-07,TO_DO
u_0_L2_E44,J_per_m3,0.08606667890531143,TO_DO
u_ext_L2_E44,J_per_m3,0.0,TO_DO
theta_L2_E44,dimensionless,0.0,TO_DO
E_L2_E45,J_per_m3,158872.88642066054,TO_DO
l_L2_E45,metre,3.7955999999999997e-06,TO_DO
r_0_L2_E45,metre,3.126e-07,TO_DO
u_0_L2_E45,J_per_m3,8.829200391635705e-16,TO_DO
u_ext_L2_E45,J_per_m3,0.0,TO_DO
theta_L2_E45,dimensionless,0.0,TO_DO
E_L2_E46,J_per_m3,88468.98674856419,TO_DO
l_L2_E46,metre,2.773e-06,TO_DO
r_0_L2_E46,metre,4.1679999999999997e-07,TO_DO
u_0_L2_E46,J_per_m3,2.9873157983764664e-15,TO_DO
u_ext_L2_E46,J_per_m3,0.0,TO_DO
theta_L2_E46,dimensionless,0.0,TO_DO
E_L2_E47,J_per_m3,166021.71044110612,TO_DO
l_L2_E47,metre,3.2233999999999995e-06,TO_DO
r_0_L2_E47,metre,2.0839999999999999e-07,TO_DO
u_0_L2_E47,J_per_m3,2.17057274931598e-16,TO_DO
u_ext_L2_E47,J_per_m3,0.0,TO_DO
theta_L2_E47,dimensionless,0.0,TO_DO
u_ext_L2_E48,J_per_m3,0.0,TO_DO
u_0_L2_E48,J_per_m3,2.6712031024611615e-17,TO_DO
theta_L2_E48,dimensionless,0.0,TO_DO
E_L2_E48,J_per_m3,267436.7904799263,TO_DO
l_L2_E48,metre,1.575e-06,TO_DO
r_0_L2_E48,metre,7.641e-07,TO_DO
E_L2_E49,J_per_m3,190314.28662752575,TO_DO
l_L2_E49,metre,3.7955999999999997e-06,TO_DO
r_0_L2_E49,metre,3.557e-07,TO_DO
u_0_L2_E49,J_per_m3,1.0367683274392636e-17,TO_DO
u_ext_L2_E49,J_per_m3,0.0,TO_DO
theta_L2_E49,dimensionless,0.0,TO_DO
E_L2_E50,J_per_m3,112303.5680734388,TO_DO
l_L2_E50,metre,3.7596999999999998e-06,TO_DO
r_0_L2_E50,metre,8.728999999999999e-07,TO_DO
u_0_L2_E50,J_per_m3,1.0842021724855044e-19,TO_DO
u_ext_L2_E50,J_per_m3,0.0,TO_DO
theta_L2_E50,dimensionless,0.0,TO_DO
E_L2_E51,J_per_m3,133569.11945841258,TO_DO
l_L2_E51,metre,4.209399999999999e-06,TO_DO
r_0_L2_E51,metre,6.899e-07,TO_DO
u_0_L2_E51,J_per_m3,6.342582709040201e-18,TO_DO
u_ext_L2_E51,J_per_m3,0.0,TO_DO
theta_L2_E51,dimensionless,0.0,TO_DO
u_ext_L2_E52,J_per_m3,0.0,TO_DO
u_0_L2_E52,J_per_m3,1.5720931501039814e-17,TO_DO
theta_L2_E52,dimensionless,0.0,TO_DO
E_L2_E52,J_per_m3,164360.24493909362,TO_DO
l_L2_E52,metre,3.7099e-06,TO_DO
r_0_L2_E52,metre,2.2099999999999998e-07,TO_DO
E_L2_E53,J_per_m3,190979.29047120252,TO_DO
l_L2_E53,metre,3.7596999999999998e-06,TO_DO
r_0_L2_E53,metre,8.081999999999999e-07,TO_DO
u_0_L2_E53,J_per_m3,3.279711571768651e-18,TO_DO
u_ext_L2_E53,J_per_m3,0.0,TO_DO
theta_L2_E53,dimensionless,0.0,TO_DO
E_L2_E54,J_per_m3,167293.32318301796,TO_DO
l_L2_E54,metre,4.501599999999999e-06,TO_DO
r_0_L2_E54,metre,6.252e-07,TO_DO
u_0_L2_E54,J_per_m3,2.939543140151324e-17,TO_DO
u_ext_L2_E54,J_per_m3,0.0,TO_DO
theta_L2_E54,dimensionless,0.0,TO_DO
E_L2_E55,J_per_m3,141321.54473305112,TO_DO
l_L2_E55,metre,2.8987e-06,TO_DO
r_0_L2_E55,metre,2.0839999999999999e-07,TO_DO
u_0_L2_E55,J_per_m3,4.866900446558786e-05,TO_DO
u_ext_L2_E55,J_per_m3,0.0,TO_DO
theta_L2_E55,dimensionless,0.0,TO_DO
u_ext_L2_E56,J_per_m3,0.0,TO_DO
u_0_L2_E56,J_per_m3,-3.071168161159385e-17,TO_DO
theta_L2_E56,dimensionless,0.0,TO_DO
E_L2_E56,J_per_m3,48888.39945406272,TO_DO
l_L2_E56,metre,5.7309e-06,TO_DO
r_0_L2_E56,metre,3.126e-07,TO_DO
E_L2_E57,J_per_m3,179715.67668754567,TO_DO
l_L2_E57,metre,2.773e-06,TO_DO
r_0_L2_E57,metre,2.0839999999999999e-07,TO_DO
u_0_L2_E57,J_per_m3,-9.812029660993815e-18,TO_DO
u_ext_L2_E57,J_per_m3,0.0,TO_DO
theta_L2_E57,dimensionless,0.0,TO_DO
u_ext_L2_E58,J_per_m3,0.0,TO_DO
u_0_L2_E58,J_per_m3,-1.734723475976807e-18,TO_DO
theta_L2_E58,dimensionless,0.0,TO_DO
E_L2_E58,J_per_m3,175480.56785284143,TO_DO
l_L2_E58,metre,4.360199999999999e-06,TO_DO
r_0_L2_E58,metre,6.252e-07,TO_DO
E_L2_E59,J_per_m3,146756.61148703887,TO_DO
l_L2_E59,metre,5.031e-07,TO_DO
r_0_L2_E59,metre,6.252e-07,TO_DO
u_0_L2_E59,J_per_m3,-1.2387009820646888e-17,TO_DO
u_ext_L2_E59,J_per_m3,0.0,TO_DO
theta_L2_E59,dimensionless,0.0,TO_DO
E_L2_E60,J_per_m3,164655.59314160346,TO_DO
l_L2_E60,metre,3.204e-07,TO_DO
r_0_L2_E60,metre,3.5889999999999996e-07,TO_DO
u_0_L2_E60,J_per_m3,5.204170427930421e-18,TO_DO
u_ext_L2_E60,J_per_m3,0.0,TO_DO
theta_L2_E60,dimensionless,0.0,TO_DO
E_L2_E61,J_per_m3,181268.42587345344,TO_DO
l_L2_E61,metre,7.6885e-06,TO_DO
r_0_L2_E61,metre,3.7169999999999997e-07,TO_DO
u_0_L2_E61,J_per_m3,-2.5587171270657905e-17,TO_DO
u_ext_L2_E61,J_per_m3,0.0,TO_DO
theta_L2_E61,dimensionless,0.0,TO_DO
u_ext_L2_E62,J_per_m3,0.0,TO_DO
u_0_L2_E62,J_per_m3,-3.903127820947816e-18,TO_DO
theta_L2_E62,dimensionless,0.0,TO_DO
E_L2_E62,J_per_m3,175790.31420241512,TO_DO
l_L2_E62,metre,3.514e-07,TO_DO
r_0_L2_E62,metre,3.5889999999999996e-07,TO_DO
E_L2_E63,J_per_m3,261881.77210103237,TO_DO
l_L2_E63,metre,2.7233e-06,TO_DO
r_0_L2_E63,metre,6.252e-07,TO_DO
u_0_L2_E63,J_per_m3,-1.3715157481941631e-17,TO_DO
u_ext_L2_E63,J_per_m3,0.0,TO_DO
theta_L2_E63,dimensionless,0.0,TO_DO
E_L2_E64,J_per_m3,203226.30744853787,TO_DO
l_L2_E64,metre,1.874e-06,TO_DO
r_0_L2_E64,metre,4.515e-07,TO_DO
u_0_L2_E64,J_per_m3,-2.5438093471941148e-17,TO_DO
u_ext_L2_E64,J_per_m3,0.0,TO_DO
theta_L2_E64,dimensionless,0.0,TO_DO
E_L2_E65,J_per_m3,173375.4095089487,TO_DO
l_L2_E65,metre,2.8111e-06,TO_DO
r_0_L2_E65,metre,2.947e-07,TO_DO
u_0_L2_E65,J_per_m3,-1.9136168344369153e-17,TO_DO
u_ext_L2_E65,J_per_m3,0.0,TO_DO
theta_L2_E65,dimensionless,0.0,TO_DO
u_ext_L2_E66,J_per_m3,0.0,TO_DO
u_0_L2_E66,J_per_m3,3.2386428421341505e-10,TO_DO
theta_L2_E66,dimensionless,0.0,TO_DO
E_L2_E66,J_per_m3,68129.25307273038,TO_DO
l_L2_E66,metre,5.6714e-06,TO_DO
r_0_L2_E66,metre,1.5049999999999998e-07,TO_DO
E_L2_E67,J_per_m3,85045.96116653288,TO_DO
l_L2_E67,metre,1.9399e-06,TO_DO
r_0_L2_E67,metre,4.515e-07,TO_DO
u_0_L2_E67,J_per_m3,0.016021958099710198,TO_DO
u_ext_L2_E67,J_per_m3,0.0,TO_DO
theta_L2_E67,dimensionless,0.0,TO_DO
u_ext_L2_E68,J_per_m3,0.0,TO_DO
u_0_L2_E68,J_per_m3,-4.336808689942018e-18,TO_DO
theta_L2_E68,dimensionless,0.0,TO_DO
E_L2_E68,J_per_m3,134061.67429659425,TO_DO
l_L2_E68,metre,1.0182e-06,TO_DO
r_0_L2_E68,metre,6.252e-07,TO_DO
E_L2_E69,J_per_m3,119744.00257494372,TO_DO
l_L2_E69,metre,3.3941e-06,TO_DO
r_0_L2_E69,metre,6.252e-07,TO_DO
u_0_L2_E69,J_per_m3,-2.0599841277224584e-18,TO_DO
u_ext_L2_E69,J_per_m3,0.0,TO_DO
theta_L2_E69,dimensionless,0.0,TO_DO
u_ext_L2_E70,J_per_m3,0.0,TO_DO
u_0_L2_E70,J_per_m3,-6.220609964635582e-18,TO_DO
theta_L2_E70,dimensionless,0.0,TO_DO
E_L2_E70,J_per_m3,171020.2968373829,TO_DO
l_L2_E70,metre,4.209399999999999e-06,TO_DO
r_0_L2_E70,metre,4.6889999999999997e-07,TO_DO
E_L2_E71,J_per_m3,143072.72610848784,TO_DO
l_L2_E71,metre,3.817e-06,TO_DO
r_0_L2_E71,metre,3.126e-07,TO_DO
u_0_L2_E71,J_per_m3,4.728787431949682e-08,TO_DO
u_ext_L2_E71,J_per_m3,0.0,TO_DO
theta_L2_E71,dimensionless,0.0,TO_DO
E_L2_E72,J_per_m3,165569.72773095703,TO_DO
l_L2_E72,metre,1.3277e-06,TO_DO
r_0_L2_E72,metre,6.252e-07,TO_DO
u_0_L2_E72,J_per_m3,0.008606667890531139,TO_DO
u_ext_L2_E72,J_per_m3,0.0,TO_DO
theta_L2_E72,dimensionless,0.0,TO_DO
u_ext_L2_E73,J_per_m3,0.0,TO_DO
u_0_L2_E73,J_per_m3,-1.5151725360484924e-17,TO_DO
theta_L2_E73,dimensionless,0.0,TO_DO
E_L2_E73,J_per_m3,130480.58658253586,TO_DO
l_L2_E73,metre,1.4645e-06,TO_DO
r_0_L2_E73,metre,6.252e-07,TO_DO
u_ext_L2_E74,J_per_m3,0.0,TO_DO
u_0_L2_E74,J_per_m3,1.531435568635775e-17,TO_DO
theta_L2_E74,dimensionless,0.0,TO_DO
E_L2_E74,J_per_m3,154076.45339407114,TO_DO
l_L2_E74,metre,3.7099e-06,TO_DO
r_0_L2_E74,metre,1.563e-07,TO_DO
E_L2_E75,J_per_m3,154431.7710652404,TO_DO
l_L2_E75,metre,2.5310999999999998e-06,TO_DO
r_0_L2_E75,metre,3.126e-07,TO_DO
u_0_L2_E75,J_per_m3,0.0002821701498458821,TO_DO
u_ext_L2_E75,J_per_m3,0.0,TO_DO
theta_L2_E75,dimensionless,0.0,TO_DO
E_L2_E76,J_per_m3,130993.806193739,TO_DO
l_L2_E76,metre,1.5819e-06,TO_DO
r_0_L2_E76,metre,2.0839999999999999e-07,TO_DO
u_0_L2_E76,J_per_m3,3.597561874690478e-09,TO_DO
u_ext_L2_E76,J_per_m3,0.0,TO_DO
theta_L2_E76,dimensionless,0.0,TO_DO
u_ext_L2_E77,J_per_m3,0.0,TO_DO
u_0_L2_E77,J_per_m3,2.710505431213761e-18,TO_DO
theta_L2_E77,dimensionless,0.0,TO_DO
E_L2_E77,J_per_m3,214452.0380792051,TO_DO
l_L2_E77,metre,1.3798e-06,TO_DO
r_0_L2_E77,metre,6.252e-07,TO_DO
E_L2_E78,J_per_m3,137335.46162613665,TO_DO
l_L2_E78,metre,2.7596e-06,TO_DO
r_0_L2_E78,metre,6.252e-07,TO_DO
u_0_L2_E78,J_per_m3,0.004141382332545836,TO_DO
u_ext_L2_E78,J_per_m3,0.0,TO_DO
theta_L2_E78,dimensionless,0.0,TO_DO
u_ext_L2_E79,J_per_m3,0.0,TO_DO
u_0_L2_E79,J_per_m3,7.968885967768458e-16,TO_DO
theta_L2_E79,dimensionless,0.0,TO_DO
E_L2_E79,J_per_m3,121942.54651577225,TO_DO
l_L2_E79,metre,5.372e-07,TO_DO
r_0_L2_E79,metre,6.252e-07,TO_DO
E_L2_E80,J_per_m3,219185.98428197674,TO_DO
l_L2_E80,metre,3.2233999999999995e-06,TO_DO
r_0_L2_E80,metre,2.0839999999999999e-07,TO_DO
u_0_L2_E80,J_per_m3,4.160625836913123e-18,TO_DO
u_ext_L2_E80,J_per_m3,0.0,TO_DO
theta_L2_E80,dimensionless,0.0,TO_DO
E_L2_E81,J_per_m3,270523.1553672469,TO_DO
l_L2_E81,metre,2.7999e-06,TO_DO
r_0_L2_E81,metre,1.563e-07,TO_DO
u_0_L2_E81,J_per_m3,4.5716014666953857e-10,TO_DO
u_ext_L2_E81,J_per_m3,0.0,TO_DO
theta_L2_E81,dimensionless,0.0,TO_DO
u_ext_L2_E82,J_per_m3,0.0,TO_DO
